precinct,raceName,name,votePercentage
1001,President and Vice President,Donald J. Trump ,19.85%
1001,President and Vice President,Joseph R. Biden ,77.92%
1001,President and Vice President,Jo Jorgensen ,1.67%
1001,President and Vice President,Howie Hawkins ,0.37%
1001,President and Vice President,Write-In Totals ,0.19%
1001,United States Senator,John Cornyn ,23.08%
1001,United States Senator,"Mary ""MJ"" Hegar ",74.30%
1001,United States Senator,Kerry Douglas McKennon ,1.88%
1001,United States Senator,David B. Collins ,0.75%
1001,United States Senator,Write-In Totals ,0.00%
1001,"United States Representative, District 35",Jenny Garcia Sharon ,20.04%
1001,"United States Representative, District 35",Lloyd Doggett ,76.37%
1001,"United States Representative, District 35",Mark Loewe ,2.46%
1001,"United States Representative, District 35",Jason Mata,1.13%
1001,Railroad Commissioner,"James ""Jim"" Wright ",21.40%
1001,Railroad Commissioner,Chrysta Casta,74.62%
1001,Railroad Commissioner,Matt Sterett ,2.84%
1001,Railroad Commissioner,"Katija ""Kat"" Gruene ",1.14%
1001,"Chief Justice, Supreme Court",Nathan Hecht ,21.10%
1001,"Chief Justice, Supreme Court",Amy Clark Meachum ,75.86%
1001,"Chief Justice, Supreme Court",Mark Ash ,3.04%
1001,"Justice, Supreme Court, Place 6 (Unexpired Term)",Jane Bland ,23.33%
1001,"Justice, Supreme Court, Place 6 (Unexpired Term)",Kathy Cheng ,76.67%
1001,"Justice, Supreme Court, Place 7",Jeff Boyd ,22.73%
1001,"Justice, Supreme Court, Place 7",Staci Williams ,74.81%
1001,"Justice, Supreme Court, Place 7",William Bryan Strange III ,2.46%
1001,"Justice, Supreme Court, Place 8",Brett Busby ,21.52%
1001,"Justice, Supreme Court, Place 8",Gisela D. Triana ,75.81%
1001,"Justice, Supreme Court, Place 8",Tom Oxford ,2.67%
1001,"Judge, Court of Criminal Appeals, Place 3",Bert Richardson ,24.38%
1001,"Judge, Court of Criminal Appeals, Place 3",Elizabeth Davis Frizell ,75.62%
1001,"Judge, Court of Criminal Appeals, Place 4",Kevin Patrick Yeary ,23.09%
1001,"Judge, Court of Criminal Appeals, Place 4",Tina Clinton ,76.91%
1001,"Judge, Court of Criminal Appeals, Place 9",David Newell ,23.66%
1001,"Judge, Court of Criminal Appeals, Place 9",Brandon Birmingham ,76.34%
1001,"State Senator, District 26",Jos,87.55%
1001,"State Senator, District 26",Juli,12.45%
1001,"Chief Justice, 4th Court of Appeals District",Ren,23.80%
1001,"Chief Justice, 4th Court of Appeals District",Rebeca Martinez ,76.20%
1001,"District Judge, 37th Judicial District",Joseph P. Appelt ,21.56%
1001,"District Judge, 37th Judicial District",Nicole Garza ,78.44%
1001,"District Judge, 144th Judicial District (Unexpired Term)",Melisa Skinner ,26.29%
1001,"District Judge, 144th Judicial District (Unexpired Term)",Michael Mery ,73.71%
1001,"District Judge, 386th Judicial District",Daphne Previti Austin ,22.37%
1001,"District Judge, 386th Judicial District","Jacqueline ""Jackie"" Vald",77.63%
1001,"District Judge, 399th Judicial District",Walden Shelton ,21.86%
1001,"District Judge, 399th Judicial District",Frank J. Castro ,78.14%
1001,"District Judge, 407th Judicial District",Stephani Walsh ,21.95%
1001,"District Judge, 407th Judicial District",Tina Torres ,78.05%
1001,Sheriff,"Gerard C. ""Gerry"" Rickhoff ",19.59%
1001,Sheriff,Javier Salazar ,80.04%
1001,Sheriff,Write-In Totals ,0.38%
1001,County Tax Assessor-Collector,Stephen David Pennington ,23.34%
1001,County Tax Assessor-Collector,Albert Uresti ,76.66%
1001,"County Commissioner, Precinct No. 1",Gabriel Lara ,22.54%
1001,"County Commissioner, Precinct No. 1","Rebeca ""Becky"" Clay-Flores ",77.46%
1001,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,74.90%
1001,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,25.10%
1001,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,79.19%
1001,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,20.81%
1001,Advanced Transportation District - Proposition A,FOR ,74.61%
1001,Advanced Transportation District - Proposition A,AGAINST ,25.39%
1001,SAN ANTONIO ISD - PROPOSITION A,FOR ,64.73%
1001,SAN ANTONIO ISD - PROPOSITION A,AGAINST ,35.27%
1001,SAN ANTONIO ISD - PROPOSITION B,FOR ,66.73%
1001,SAN ANTONIO ISD - PROPOSITION B,AGAINST ,33.27%
1002,President and Vice President,Donald J. Trump ,33.12%
1002,President and Vice President,Joseph R. Biden ,64.77%
1002,President and Vice President,Jo Jorgensen ,1.48%
1002,President and Vice President,Howie Hawkins ,0.63%
1002,President and Vice President,Write-In Totals ,0.00%
1002,United States Senator,John Cornyn ,37.12%
1002,United States Senator,"Mary ""MJ"" Hegar ",60.73%
1002,United States Senator,Kerry Douglas McKennon ,1.07%
1002,United States Senator,David B. Collins ,1.07%
1002,United States Senator,Write-In Totals ,0.00%
1002,"United States Representative, District 23",Tony Gonzales ,36.52%
1002,"United States Representative, District 23",Gina Ortiz Jones ,60.72%
1002,"United States Representative, District 23",Beto Villela ,2.76%
1002,Railroad Commissioner,"James ""Jim"" Wright ",34.56%
1002,Railroad Commissioner,Chrysta Casta,61.77%
1002,Railroad Commissioner,Matt Sterett ,1.30%
1002,Railroad Commissioner,"Katija ""Kat"" Gruene ",2.38%
1002,"Chief Justice, Supreme Court",Nathan Hecht ,35.56%
1002,"Chief Justice, Supreme Court",Amy Clark Meachum ,62.07%
1002,"Chief Justice, Supreme Court",Mark Ash ,2.37%
1002,"Justice, Supreme Court, Place 6 (Unexpired Term)",Jane Bland ,36.01%
1002,"Justice, Supreme Court, Place 6 (Unexpired Term)",Kathy Cheng ,63.99%
1002,"Justice, Supreme Court, Place 7",Jeff Boyd ,35.71%
1002,"Justice, Supreme Court, Place 7",Staci Williams ,61.26%
1002,"Justice, Supreme Court, Place 7",William Bryan Strange III ,3.03%
1002,"Justice, Supreme Court, Place 8",Brett Busby ,36.09%
1002,"Justice, Supreme Court, Place 8",Gisela D. Triana ,61.96%
1002,"Justice, Supreme Court, Place 8",Tom Oxford ,1.96%
1002,"Judge, Court of Criminal Appeals, Place 3",Bert Richardson ,36.42%
1002,"Judge, Court of Criminal Appeals, Place 3",Elizabeth Davis Frizell ,63.58%
1002,"Judge, Court of Criminal Appeals, Place 4",Kevin Patrick Yeary ,36.58%
1002,"Judge, Court of Criminal Appeals, Place 4",Tina Clinton ,63.42%
1002,"Judge, Court of Criminal Appeals, Place 9",David Newell ,36.62%
1002,"Judge, Court of Criminal Appeals, Place 9",Brandon Birmingham ,63.38%
1002,"State Senator, District 26",Jos,78.64%
1002,"State Senator, District 26",Juli,21.36%
1002,"Chief Justice, 4th Court of Appeals District",Ren,37.09%
1002,"Chief Justice, 4th Court of Appeals District",Rebeca Martinez ,62.91%
1002,"District Judge, 37th Judicial District",Joseph P. Appelt ,34.27%
1002,"District Judge, 37th Judicial District",Nicole Garza ,65.73%
1002,"District Judge, 144th Judicial District (Unexpired Term)",Melisa Skinner ,38.39%
1002,"District Judge, 144th Judicial District (Unexpired Term)",Michael Mery ,61.61%
1002,"District Judge, 386th Judicial District",Daphne Previti Austin ,36.44%
1002,"District Judge, 386th Judicial District","Jacqueline ""Jackie"" Vald",63.56%
