precinct,raceName,name,votePercentage
1001,STATE OF TEXAS PROPOSITION 1,For ,86.14%
1001,STATE OF TEXAS PROPOSITION 1,Against ,13.86%
1001,STATE OF TEXAS PROPOSITION 2,For ,82.18%
1001,STATE OF TEXAS PROPOSITION 2,Against ,17.82%
1001,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,85.15%
1001,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,14.85%
1001,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,86.14%
1001,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,13.86%
1001,CITY OF SAN ANTONIO - PROPOSITION C,FOR ,78.43%
1001,CITY OF SAN ANTONIO - PROPOSITION C,AGAINST ,21.57%
1001,CITY OF SAN ANTONIO - PROPOSITION D,FOR ,82.35%
1001,CITY OF SAN ANTONIO - PROPOSITION D,AGAINST ,17.65%
1001,CITY OF SAN ANTONIO - PROPOSITION E,FOR ,78.22%
1001,CITY OF SAN ANTONIO - PROPOSITION E,AGAINST ,21.78%
1001,CITY OF SAN ANTONIO - PROPOSITION F,FOR ,77.45%
1001,CITY OF SAN ANTONIO - PROPOSITION F,AGAINST ,22.55%
1002,STATE OF TEXAS PROPOSITION 1,For ,80.95%
1002,STATE OF TEXAS PROPOSITION 1,Against ,19.05%
1002,STATE OF TEXAS PROPOSITION 2,For ,80.49%
1002,STATE OF TEXAS PROPOSITION 2,Against ,19.51%
1002,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,59.52%
1002,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,40.48%
1002,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,64.29%
1002,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,35.71%
1002,CITY OF SAN ANTONIO - PROPOSITION C,FOR ,54.76%
1002,CITY OF SAN ANTONIO - PROPOSITION C,AGAINST ,45.24%
1002,CITY OF SAN ANTONIO - PROPOSITION D,FOR ,55.81%
1002,CITY OF SAN ANTONIO - PROPOSITION D,AGAINST ,44.19%
1002,CITY OF SAN ANTONIO - PROPOSITION E,FOR ,58.54%
1002,CITY OF SAN ANTONIO - PROPOSITION E,AGAINST ,41.46%
1002,CITY OF SAN ANTONIO - PROPOSITION F,FOR ,61.90%
1002,CITY OF SAN ANTONIO - PROPOSITION F,AGAINST ,38.10%
1002,NORTHSIDE INDEPENDENT SCHOOL DISTRICT - PROPOSITION A,FOR ,54.76%
1002,NORTHSIDE INDEPENDENT SCHOOL DISTRICT - PROPOSITION A,AGAINST ,45.24%
1003,STATE OF TEXAS PROPOSITION 1,For ,81.48%
1003,STATE OF TEXAS PROPOSITION 1,Against ,18.52%
1003,STATE OF TEXAS PROPOSITION 2,For ,76.64%
1003,STATE OF TEXAS PROPOSITION 2,Against ,23.36%
1003,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,83.57%
1003,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,16.43%
1003,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,83.57%
1003,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,16.43%
1003,CITY OF SAN ANTONIO - PROPOSITION C,FOR ,75.36%
1003,CITY OF SAN ANTONIO - PROPOSITION C,AGAINST ,24.64%
1003,CITY OF SAN ANTONIO - PROPOSITION D,FOR ,75.36%
1003,CITY OF SAN ANTONIO - PROPOSITION D,AGAINST ,24.64%
1003,CITY OF SAN ANTONIO - PROPOSITION E,FOR ,69.06%
1003,CITY OF SAN ANTONIO - PROPOSITION E,AGAINST ,30.94%
1003,CITY OF SAN ANTONIO - PROPOSITION F,FOR ,75.89%
1003,CITY OF SAN ANTONIO - PROPOSITION F,AGAINST ,24.11%
1004,STATE OF TEXAS PROPOSITION 1,For ,76.92%
1004,STATE OF TEXAS PROPOSITION 1,Against ,23.08%
1004,STATE OF TEXAS PROPOSITION 2,For ,76.47%
1004,STATE OF TEXAS PROPOSITION 2,Against ,23.53%
1004,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,74.51%
1004,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,25.49%
1004,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,76.47%
1004,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,23.53%
1004,CITY OF SAN ANTONIO - PROPOSITION C,FOR ,69.23%
1004,CITY OF SAN ANTONIO - PROPOSITION C,AGAINST ,30.77%
1004,CITY OF SAN ANTONIO - PROPOSITION D,FOR ,71.15%
1004,CITY OF SAN ANTONIO - PROPOSITION D,AGAINST ,28.85%
1004,CITY OF SAN ANTONIO - PROPOSITION E,FOR ,77.36%
1004,CITY OF SAN ANTONIO - PROPOSITION E,AGAINST ,22.64%
1004,CITY OF SAN ANTONIO - PROPOSITION F,FOR ,63.46%
1004,CITY OF SAN ANTONIO - PROPOSITION F,AGAINST ,36.54%
1005,STATE OF TEXAS PROPOSITION 1,For ,88.89%
1005,STATE OF TEXAS PROPOSITION 1,Against ,11.11%
1005,STATE OF TEXAS PROPOSITION 2,For ,88.89%
1005,STATE OF TEXAS PROPOSITION 2,Against ,11.11%
1005,CITY OF SAN ANTONIO - PROPOSITION A,FOR ,62.07%
1005,CITY OF SAN ANTONIO - PROPOSITION A,AGAINST ,37.93%
1005,CITY OF SAN ANTONIO - PROPOSITION B,FOR ,66.67%
1005,CITY OF SAN ANTONIO - PROPOSITION B,AGAINST ,33.33%
1005,CITY OF SAN ANTONIO - PROPOSITION C,FOR ,58.62%
1005,CITY OF SAN ANTONIO - PROPOSITION C,AGAINST ,41.38%
1005,CITY OF SAN ANTONIO - PROPOSITION D,FOR ,70.00%
1005,CITY OF SAN ANTONIO - PROPOSITION D,AGAINST ,30.00%
1005,CITY OF SAN ANTONIO - PROPOSITION E,FOR ,62.07%
